id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
       12007,  0.3278570E+06,  0.6053600E+07,    13.054,    18.811
       12008,  0.3279494E+06,  0.6053623E+07,    12.254,    22.436
       12009,  0.3280077E+06,  0.6053648E+07,    13.064,   137.773
       12010,  0.3273483E+06,  0.6052814E+07,    12.531,    22.155
       12011,  0.3273535E+06,  0.6052750E+07,    14.691,   163.004
       12012,  0.3274299E+06,  0.6052844E+07,    14.385,    20.157
       12013,  0.3273969E+06,  0.6052775E+07,     9.792,    16.884
       12014,  0.3275104E+06,  0.6052997E+07,    11.582,    14.032
       12015,  0.3274731E+06,  0.6052903E+07,     9.113,    11.725
       12016,  0.3275310E+06,  0.6052923E+07,     7.967,     9.650
       12017,  0.3275746E+06,  0.6053077E+07,    10.985,    13.025
       12018,  0.3275936E+06,  0.6053001E+07,     9.456,    11.119
       12019,  0.3276389E+06,  0.6053156E+07,    10.685,    12.537
       12020,  0.3276562E+06,  0.6053078E+07,     9.112,    10.551
       12021,  0.3274749E+06,  0.6052801E+07,    10.502,    14.880
       12022,  0.3275133E+06,  0.6052833E+07,     9.579,    12.285
       12023,  0.3277032E+06,  0.6053236E+07,    10.585,    12.374
       12024,  0.3277189E+06,  0.6053156E+07,     8.913,    10.244
       12025,  0.3277675E+06,  0.6053316E+07,    10.821,    12.733
       12026,  0.3277815E+06,  0.6053233E+07,     8.898,    10.243
       12027,  0.3278318E+06,  0.6053396E+07,    11.624,    14.021
       12028,  0.3278441E+06,  0.6053310E+07,     9.202,    10.746
       12029,  0.3278704E+06,  0.6053498E+07,     8.079,    10.524
       12030,  0.3279067E+06,  0.6053388E+07,     8.385,    10.182
       12031,  0.3279092E+06,  0.6053451E+07,    10.544,    13.745
       12032,  0.3279120E+06,  0.6053565E+07,    15.712,    22.716
       12033,  0.3279935E+06,  0.6053552E+07,    13.316,    22.104
       12034,  0.3279508E+06,  0.6053519E+07,    10.624,    14.863
       12035,  0.3280517E+06,  0.6053577E+07,    18.020,   152.223
       12036,  0.3279973E+06,  0.6053500E+07,    10.811,    15.744
       12037,  0.3280345E+06,  0.6053467E+07,    10.189,    15.171
       12038,  0.3280921E+06,  0.6053500E+07,    13.636,    24.410
       12039,  0.3281189E+06,  0.6053591E+07,    14.777,   391.938
       12040,  0.3274420E+06,  0.6052732E+07,    13.690,    22.734
       12041,  0.3274519E+06,  0.6052673E+07,    10.897,    20.291
       12042,  0.3275202E+06,  0.6052785E+07,     9.701,    13.322
       12043,  0.3275210E+06,  0.6052724E+07,    12.664,    19.117
       12044,  0.3276143E+06,  0.6052927E+07,    11.488,    13.839
       12045,  0.3275712E+06,  0.6052853E+07,    12.855,    16.009
